,times
0,0:12:36
1,0:12:43
2,0:12:47
3,0:12:53
4,0:12:58
5,0:13:01
6,0:13:09
7,0:13:12
8,0:13:24
9,0:13:24
10,0:13:36
11,0:13:37
12,0:13:42
13,0:13:48
14,0:14:06
15,0:14:07
16,0:14:11
17,0:14:13
18,0:14:25
19,0:14:27
20,0:14:27
21,0:14:37
22,0:14:41
23,0:14:55
24,0:14:56
25,0:14:58
26,0:14:58
27,0:15:16
28,0:15:19
29,0:15:24
30,0:15:27
31,0:15:31
32,0:15:38
33,0:15:42
34,0:15:43
35,0:15:50
36,0:16:12
37,0:16:20
38,0:16:21
39,0:16:36
40,0:16:42
41,0:16:49
42,0:16:58
43,0:17:10
44,0:17:13
45,0:17:14
46,0:17:16
47,0:17:17
48,0:17:19
49,0:17:20
50,0:17:30
51,0:17:37
52,0:17:49
53,0:17:53
54,0:17:53
55,0:18:02
56,0:18:05
57,0:18:44
58,0:19:32
59,0:19:55
60,0:20:14
61,0:20:22
