,team
0,7M
1,6M
2,4M
3,4M
4,54M
5,4M
6,10M
7,3M
8,6M
9,7M
10,40M
11,6M
12,7M
13,1M
14,6M
15,10M
16,14M
17,10M
18,5M
19,10M
20,7M
21,3M
22,10M
23,1M
24,4M
25,10M
26,30M
27,30M
28,1M
29,9M
30,1M
31,5M
32,2M
33,3M
34,37M
35,6M
36,6M
37,6M
38,17M
39,6M
40,3M
41,14F
42,1M
43,37M
44,6F
45,53M
46,9M
47,6M
48,10M
49,9F
50,2M
51,3M
52,52M
53,3M
54,6M
55,17M
56,14F
57,48F
58,10F
59,14M
60,17M
61,3M
62,14F
63,9F
64,5M
65,1M
66,14F
67,53M
68,3M
69,8F
70,1M
71,10M
72,4M
73,3M
74,37F
75,9M
76,6F
77,30M
78,40F
79,1M
80,48M
81,3M
82,37M
83,17F
84,54F
85,48M
86,56M
87,3M
88,7M
89,37M
90,37M
91,57M
92,11M
93,3F
94,2M
95,8F
96,14M
97,17M
98,6F
99,56M
100,1M
101,54F
102,57M
103,2M
104,3F
105,1F
106,2F
107,56F
108,6F
109,9F
110,1M
111,48M
112,2F
113,37M
114,48M
115,17F
116,37M
117,6F
118,3F
119,17F
120,37F
121,6M
122,6M
123,37M
124,54F
125,8F
126,17F
127,6M
128,30M
129,30M
130,14M
131,9F
132,54F
133,9M
134,17M
135,8F
136,56M
137,56M
138,23M
139,1F
140,56F
141,1F
142,56M
143,14F
144,1F
145,17M
146,56F
147,30F
148,15F
149,8M
150,7M
151,37M
152,22F
153,3M
