,times
0,0:03:38
1,0:03:40
2,0:03:41
3,0:03:41
4,0:03:41
5,0:03:45
6,0:03:47
7,0:03:49
8,0:03:50
9,0:03:50
10,0:03:51
11,0:03:52
12,0:03:53
13,0:03:53
14,0:03:55
15,0:03:55
16,0:03:55
17,0:03:59
18,0:03:59
19,0:04:02
20,0:04:02
21,0:04:02
22,0:04:03
23,0:04:04
24,0:04:05
25,0:04:06
26,0:04:07
27,0:04:07
28,0:04:08
29,0:04:08
30,0:04:09
31,0:04:14
32,0:04:17
33,0:04:17
34,0:04:17
35,0:04:17
36,0:04:17
37,0:04:23
38,0:04:23
39,0:04:23
40,0:04:23
41,0:04:33
42,0:04:34
43,0:04:36
44,0:04:40
45,0:04:40
46,0:04:40
47,0:04:40
48,0:04:42
49,0:04:47
50,0:04:50
51,0:04:51
52,0:04:54
53,0:04:54
54,0:04:55
55,0:04:55
56,0:05:04
57,0:05:04
58,0:05:04
59,0:05:13
60,0:05:30
