,times
0,0:19:06
1,0:19:12
2,0:19:33
3,0:19:49
4,0:19:56
5,0:20:09
6,0:20:12
7,0:20:17
8,0:20:19
9,0:20:32
10,0:20:35
11,0:20:44
12,0:20:49
13,0:20:53
14,0:20:55
15,0:20:56
16,0:21:04
17,0:21:15
18,0:21:23
19,0:21:25
20,0:21:32
21,0:21:34
22,0:21:41
23,0:21:47
24,0:21:47
25,0:21:53
26,0:21:55
27,0:21:58
28,0:22:02
29,0:22:21
30,0:22:22
31,0:22:24
32,0:22:33
33,0:22:41
34,0:22:45
35,0:22:46
36,0:23:02
37,0:23:08
38,0:23:14
39,0:23:20
40,0:23:22
41,0:23:25
42,0:23:36
43,0:23:38
44,0:23:50
45,0:23:59
46,0:24:07
47,0:24:14
48,0:24:15
49,0:24:17
50,0:24:18
51,0:24:22
52,0:24:22
53,0:24:27
54,0:24:30
55,0:24:36
56,0:24:38
57,0:24:41
58,0:24:43
59,0:24:44
60,0:24:44
61,0:24:49
62,0:24:49
63,0:24:52
64,0:25:08
65,0:25:15
66,0:25:17
67,0:25:23
68,0:25:27
69,0:25:37
70,0:25:41
71,0:25:44
72,0:25:46
73,0:25:49
74,0:25:53
75,0:25:56
76,0:26:02
77,0:26:05
78,0:26:05
79,0:26:06
80,0:26:08
81,0:26:10
82,0:26:12
83,0:26:34
84,0:26:37
85,0:26:45
86,0:26:48
87,0:26:48
88,0:26:48
89,0:26:48
90,0:26:48
91,0:26:48
92,0:27:00
93,0:27:16
94,0:27:21
95,0:27:24
96,0:27:27
97,0:27:28
98,0:27:33
99,0:27:34
100,0:27:35
101,0:27:36
102,0:27:44
103,0:27:45
104,0:27:48
105,0:27:50
106,0:27:50
107,0:27:51
108,0:27:52
109,0:27:55
110,0:27:59
111,0:27:59
112,0:27:59
113,0:28:01
114,0:28:06
115,0:28:06
116,0:28:12
117,0:28:20
118,0:28:33
119,0:28:48
120,0:28:51
121,0:28:56
122,0:29:05
123,0:29:10
124,0:29:14
125,0:29:20
126,0:29:20
127,0:29:20
128,0:29:27
129,0:29:32
130,0:29:40
131,0:29:57
132,0:29:58
133,0:30:02
134,0:30:03
135,0:30:08
136,0:30:12
137,0:30:33
138,0:30:36
139,0:30:46
140,0:30:52
141,0:31:06
142,0:31:14
143,0:31:35
144,0:31:51
145,0:31:53
146,0:32:00
147,0:32:04
148,0:32:25
149,0:32:34
150,0:32:48
151,0:34:14
152,0:34:52
153,0:35:42
154,0:37:20
155,0:38:12
156,0:40:06
