,times
0,0:10:32
1,0:11:01
2,0:11:09
3,0:11:14
4,0:11:18
5,0:11:18
6,0:11:18
7,0:11:25
8,0:11:33
9,0:11:37
10,0:11:37
11,0:11:41
12,0:11:43
13,0:11:43
14,0:11:43
15,0:11:48
16,0:11:53
17,0:11:57
18,0:12:06
19,0:12:06
20,0:12:10
21,0:12:18
22,0:12:21
23,0:12:23
24,0:12:27
25,0:12:33
26,0:12:36
27,0:12:36
28,0:12:41
29,0:12:43
30,0:12:45
31,0:12:49
32,0:12:52
33,0:12:58
34,0:13:07
35,0:13:16
36,0:13:16
37,0:13:18
38,0:13:25
39,0:13:35
40,0:13:42
41,0:13:58
42,0:14:06
43,0:14:11
44,0:14:18
45,0:14:48
46,0:14:51
47,0:14:52
48,0:15:15
49,0:15:17
50,0:15:33
51,0:15:41
52,0:15:41
53,0:16:26
