position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Giffnock North AC,7,F,"2,4,5",11,0,11,11,https://www.giffnocknorth.co.uk/
2,North Ayrshire AAC,44,F,"3,15,24",42,0,42,3,https://naathletics.co.uk/
3,Inverclyde AC,4,F,"11,12,26",49,0,49,4,https://www.inverclydeac.org/
4,Airdrie Harriers,11,F,"8,16,30",54,0,54,10,http://airdrieharriers.org/
5,Law & District AAC,37,F,"6,17,36",59,0,59,5,http://www.lawaac.co.uk/
6,Kilmarnock H&AC,2,F,"19,21,32",72,0,72,4,http://www.kilmarnockharriers.com/
7,Kilbarchan AAC,34,F,"23,27,29",79,0,79,3,https://kilbarchanaac.org.uk/
8,Whitemoss AAC,57,F,"18,34,48",100,0,100,3,https://whitemossaac.co.uk/
9,Garscube Harriers,9,F,1,1,124,125,1,https://www.garscubeharriers.org.uk/
10,Shettleston Harriers,10,F,"22,44",66,62,128,2,http://shettlestonharriers.org.uk/
11,East Kilbride AC,1,F,"25,43",68,62,130,2,http://www.ekac.org.uk/
12,VP-Glasgow,54,F,13,13,124,137,1,https://www.vp-glasgow.com
13,Ayr Seaforth AC,14,F,20,20,124,144,1,https://www.ayrseaforth.co.uk/
14,Springburn Harriers,48,F,33,33,124,157,1,https://www.springburnharriers.co.uk/
15,Larkhall YMCA,36,F,50,50,124,174,1,https://www.facebook.com/larkhallharriers/
