1,2,3,Total,Club name,Website
21,58,23,102,Cambuslang Harriers,https://cambuslangharriers.org/
35,23,48,106,East Kilbride AC,http://www.ekac.org.uk/
30,72,55,157,West End RR,https://www.westendroadrunners.co.uk/
44,72,44,160,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
63,41,58,162,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
63,49,56,168,Springburn Harriers,https://www.springburnharriers.co.uk/
68,53,57,178,Law & District AAC,http://www.lawaac.co.uk/
66,54,81,201,Giffnock North AC,https://www.giffnocknorth.co.uk/
93,72,39,204,Garscube Harriers,https://www.garscubeharriers.org.uk/
93,52,64,209,Calderglen Harriers,http://www.calderglenharriers.org.uk/
77,60,81,218,Troon Tortoises,http://troontortoises.co.uk
83,59,81,223,Westerlands CCC,https://westerlandsccc.co.uk/
71,72,81,224,North Ayrshire AAC,https://naathletics.co.uk/
93,50,81,224,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
93,62,70,225,Ayrodynamic Triathlon Club,http://www.ayrodynamic.org.uk/
75,72,81,228,Whitemoss AAC,https://whitemossaac.co.uk/
93,72,71,236,Dumfries Harriers,https://dumfriesharriers.co.uk/
