position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Giffnock North AC,7,M,"1,4,5",10,0,10,3,https://www.giffnocknorth.co.uk/
2,Law & District AAC,37,M,"2,8,16",26,0,26,6,http://www.lawaac.co.uk/
3,Kilbarchan AAC,34,M,"7,14,17",38,0,38,5,https://kilbarchanaac.org.uk/
4,Motherwell AC,40,M,"11,13,15",39,0,39,3,https://motherwellac.com/
5,East Kilbride AC,1,M,"9,21,26",56,0,56,3,http://www.ekac.org.uk/
6,Kilmarnock H&AC,2,M,"6,12",18,45,63,2,http://www.kilmarnockharriers.com/
7,Helensburgh AAC,32,M,"18,24,30",72,0,72,4,https://www.helensburghaac.com/
8,Garscube Harriers,9,M,"10,19",29,45,74,2,https://www.garscubeharriers.org.uk/
9,Springburn Harriers,48,M,3,3,90,93,1,https://www.springburnharriers.co.uk/
10,Airdrie Harriers,11,M,"22,35",57,45,102,2,http://airdrieharriers.org/
11,Cambuslang Harriers,6,M,27,27,90,117,1,https://cambuslangharriers.org/
12,Larkhall YMCA,36,M,29,29,90,119,1,https://www.larkhallymcaharriers.org
13,Calderglen Harriers,17,M,33,33,90,123,1,http://www.calderglenharriers.org.uk/
14,Inverclyde AC,4,M,34,34,90,124,1,https://www.inverclydeac.org/
