1,2,3,Total,Club name,Website
34,28,26,88,Law & District AAC,http://www.lawaac.co.uk/
29,60,10,99,Giffnock North AC,https://www.giffnocknorth.co.uk/
37,38,38,113,Kilbarchan AAC,https://kilbarchanaac.org.uk/
40,45,63,148,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
76,63,39,178,Motherwell AC,https://motherwellac.com/
44,82,102,228,Airdrie Harriers,http://airdrieharriers.org/
77,107,56,240,East Kilbride AC,http://www.ekac.org.uk/
71,47,124,242,Inverclyde AC,https://www.inverclydeac.org/
89,61,93,243,Springburn Harriers,https://www.springburnharriers.co.uk/
108,106,72,286,Helensburgh AAC,https://www.helensburghaac.com/
132,56,135,323,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
132,126,74,332,Garscube Harriers,https://www.garscubeharriers.org.uk/
104,99,135,338,North Ayrshire AAC,https://naathletics.co.uk/
110,110,119,339,Larkhall YMCA,https://www.larkhallymcaharriers.org
132,114,117,363,Cambuslang Harriers,https://cambuslangharriers.org/
118,126,123,367,Calderglen Harriers,http://www.calderglenharriers.org.uk/
132,109,135,376,Shettleston Harriers,http://shettlestonharriers.org.uk/
