position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Bellahouston Harriers,8,F,"7,9,11",27,0,27,9,http://www.bellahoustonharriers.co.uk/
2,East Kilbride AC,1,F,"5,8,21",34,0,34,3,http://www.ekac.org.uk/
3,Calderglen Harriers,17,F,"6,13,24",43,0,43,3,http://www.calderglenharriers.org.uk/
4,Cambuslang Harriers,6,F,"3,12",15,35,50,2,https://cambuslangharriers.org/
5,Greenock Glenpark Harriers,30,F,"16,23,25",64,0,64,3,https://greenockglenparkharriers.com/
6,Springburn Harriers,48,F,1,1,70,71,1,https://www.springburnharriers.co.uk/
7,Law & District AAC,37,F,2,2,70,72,1,http://www.lawaac.co.uk/
8,West End RR,56,F,4,4,70,74,1,https://www.westendroadrunners.co.uk/
9,Bellahouston RR,3,F,10,10,70,80,1,https://www.bellahoustonroadrunners.co.uk/
10,Westerlands CCC,5,F,22,22,70,92,1,https://westerlandsccc.co.uk/
