Team,Points,Club,ParticipantPoints,TeamParticipants,PenaltyPoints,EventPoints
10F,,Shettleston Harriers,37.0,3.0,0.0,37.0
7F,,Giffnock North AC,41.0,3.0,0.0,41.0
1F,,East Kilbride AC,45.0,3.0,0.0,45.0
48F,,Springburn Harriers,58.0,3.0,0.0,58.0
11F,,Airdrie Harriers,63.0,3.0,0.0,63.0
4F,,Inverclyde AC,72.0,3.0,0.0,72.0
2F,,Kilmarnock H&AC,19.0,2.0,68.0,87.0
37F,,Law & District AAC,88.0,3.0,0.0,88.0
54F,,VP-Glasgow,35.0,2.0,68.0,103.0
14F,,Ayr Seaforth AC,36.0,2.0,68.0,104.0
6F,,Cambuslang Harriers,113.0,3.0,0.0,113.0
44F,,North Ayrshire AAC,50.0,2.0,68.0,118.0
34F,,Kilbarchan AAC,7.0,1.0,136.0,143.0
36F,,Larkhall YMCA,39.0,1.0,136.0,175.0
57F,,Whitemoss AAC,110.0,2.0,68.0,178.0
