Team,Points,Club,ParticipantPoints,TeamParticipants,PenaltyPoints,EventPoints
7M,,Giffnock North AC,9.0,3.0,0.0,9.0
37M,,Law & District AAC,17.0,2.0,38.0,55.0
4M,,Inverclyde AC,57.0,3.0,0.0,57.0
6M,,Cambuslang Harriers,20.0,2.0,38.0,58.0
10M,,Shettleston Harriers,37.0,2.0,38.0,75.0
9M,,Garscube Harriers,1.0,1.0,76.0,77.0
1M,,East Kilbride AC,41.0,2.0,38.0,79.0
48M,,Springburn Harriers,7.0,1.0,76.0,83.0
2M,,Kilmarnock H&AC,47.0,2.0,38.0,85.0
34M,,Kilbarchan AAC,19.0,1.0,76.0,95.0
11M,,Airdrie Harriers,22.0,1.0,76.0,98.0
14M,,Ayr Seaforth AC,23.0,1.0,76.0,99.0
54M,,VP-Glasgow,25.0,1.0,76.0,101.0
44M,,North Ayrshire AAC,27.0,1.0,76.0,103.0
