position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Kilbarchan AAC,34,M,"2,3,19",24,0,24,5,
2,Giffnock North AC,7,M,"1,10,21",32,0,32,4,
3,East Kilbride AC,1,M,"12,13,14",39,0,39,7,http://www.ekac.org.uk/
4,Springburn Harriers,48,M,"4,8,28",40,0,40,3,
5,Ayr Seaforth AC,14,M,"11,16,17",44,0,44,4,
6,North Ayrshire AAC,44,M,"5,18",23,42,65,2,
7,Cambuslang Harriers,6,M,"7,25",32,42,74,2,
8,Law & District AAC,37,M,"9,24",33,42,75,2,
9,Shettleston Harriers,10,M,6,6,84,90,1,
10,Larkhall YMCA,36,M,22,22,84,106,1,
11,Airdrie Harriers,11,M,23,23,84,107,1,
12,Maryhill Harriers,38,M,,0,126,126,0,
13,Nithsdale AC,43,M,,0,126,126,0,
14,Motherwell AC,40,M,,0,126,126,0,
15,Kirkintilloch Olympians,35,M,,0,126,126,0,
16,Mull AC,41,M,,0,126,126,0,
17,Newton Road Runners,42,M,,0,126,126,0,
18,Mid Argyll AAC,39,M,,0,126,126,0,
19,Scottish Fire & Rescue Service AC,47,M,,0,126,126,0,
20,Royal Mail Run GMC,46,M,,0,126,126,0,
21,Irvine RC,33,M,,0,126,126,0,
22,Stewartry AC,49,M,,0,126,126,0,
23,Strathaven Striders,50,M,,0,126,126,0,
24,Strathclyde Police AC,51,M,,0,126,126,0,
25,Strathclyde University Harriers,52,M,,0,126,126,0,
26,Troon Tortoises,53,M,,0,126,126,0,
27,VP-Glasgow,54,M,,0,126,126,0,
28,West Dunbartonshire AC,55,M,,0,126,126,0,
29,Red Star AC,45,M,,0,126,126,0,
30,Helensburgh AAC,32,M,,0,126,126,0,
31,Glasgow University Hares and Hounds,29,M,,0,126,126,0,
32,Greenock Glenpark Harriers,30,M,,0,126,126,0,
33,Kilmarnock H&AC,2,M,,0,126,126,0,http://www.kilmarnockharriers.com/
34,Bellahouston RR,3,M,,0,126,126,0,https://www.bellahoustonroadrunners.co.uk/
35,Inverclyde AC,4,M,,0,126,126,0,
36,Westerlands CCC,5,M,,0,126,126,0,
37,Bellahouston Harriers,8,M,,0,126,126,0,
38,Garscube Harriers,9,M,,0,126,126,0,
39,Annan and District AC,12,M,,0,126,126,0,
40,Arran Runners,13,M,,0,126,126,0,
41,Ayrodynamic Triathlon Club,15,M,,0,126,126,0,
42,Beith Harriers,16,M,,0,126,126,0,
43,Calderglen Harriers,17,M,,0,126,126,0,
44,Campbeltown Running Club,18,M,,0,126,126,0,
45,Clydesdale Harriers,19,M,,0,126,126,0,
46,Cumbernauld AAC,20,M,,0,126,126,0,
47,Dumbarton AAC,21,M,,0,126,126,0,
48,Dumfries Harriers,22,M,,0,126,126,0,
49,Dumfries Running Club,23,M,,0,126,126,0,
50,Galloway Harriers AAC,24,M,,0,126,126,0,
51,Girvan AC,25,M,,0,126,126,0,
52,Glasgow Caledonian University AC,26,M,,0,126,126,0,
53,Glasgow FrontRunners,27,M,,0,126,126,0,
54,Glasgow Triathlon Club,28,M,,0,126,126,0,
55,West End RR,56,M,,0,126,126,0,
56,Hamilton Harriers,31,M,,0,126,126,0,
57,Whitemoss AAC,57,M,,0,126,126,0,
