position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Bellahouston Harriers,8,F,"7,9,13",29,29,58,3,
2,Law & District AAC,37,F,"8,10,12",30,29,59,3,
3,Ayr Seaforth AC,14,F,"2,3",5,58,63,2,
4,Bellahouston RR,3,F,"14,15,16",45,29,74,3,https://www.bellahoustonroadrunners.co.uk/
5,Newton Road Runners,42,F,"11,17",28,58,86,2,
6,Cambuslang Harriers,6,F,1,1,87,88,1,
7,Garscube Harriers,9,F,4,4,87,91,1,
8,Kilmarnock H&AC,2,F,5,5,87,92,1,http://www.kilmarnockharriers.com/
9,Shettleston Harriers,10,F,6,6,87,93,1,
10,East Kilbride AC,1,F,18,18,87,105,1,http://www.ekac.org.uk/
11,Greenock Glenpark Harriers,30,F,19,19,87,106,1,
12,Larkhall YMCA,36,F,,0,116,116,0,
13,Maryhill Harriers,38,F,,0,116,116,0,
14,Mid Argyll AAC,39,F,,0,116,116,0,
15,Kirkintilloch Olympians,35,F,,0,116,116,0,
16,Motherwell AC,40,F,,0,116,116,0,
17,Mull AC,41,F,,0,116,116,0,
18,Nithsdale AC,43,F,,0,116,116,0,
19,North Ayrshire AAC,44,F,,0,116,116,0,
20,Springburn Harriers,48,F,,0,116,116,0,
21,Royal Mail Run GMC,46,F,,0,116,116,0,
22,Scottish Fire & Rescue Service AC,47,F,,0,116,116,0,
23,Kilbarchan AAC,34,F,,0,116,116,0,
24,Stewartry AC,49,F,,0,116,116,0,
25,Strathaven Striders,50,F,,0,116,116,0,
26,Strathclyde Police AC,51,F,,0,116,116,0,
27,Strathclyde University Harriers,52,F,,0,116,116,0,
28,Troon Tortoises,53,F,,0,116,116,0,
29,VP-Glasgow,54,F,,0,116,116,0,
30,West Dunbartonshire AC,55,F,,0,116,116,0,
31,Red Star AC,45,F,,0,116,116,0,
32,Irvine RC,33,F,,0,116,116,0,
33,Glasgow University Hares and Hounds,29,F,,0,116,116,0,
34,Hamilton Harriers,31,F,,0,116,116,0,
35,Inverclyde AC,4,F,,0,116,116,0,
36,Westerlands CCC,5,F,,0,116,116,0,
37,Giffnock North AC,7,F,,0,116,116,0,
38,Airdrie Harriers,11,F,,0,116,116,0,
39,Annan and District AC,12,F,,0,116,116,0,
40,Arran Runners,13,F,,0,116,116,0,
41,Ayrodynamic Triathlon Club,15,F,,0,116,116,0,
42,Beith Harriers,16,F,,0,116,116,0,
43,Calderglen Harriers,17,F,,0,116,116,0,
44,Campbeltown Running Club,18,F,,0,116,116,0,
45,Clydesdale Harriers,19,F,,0,116,116,0,
46,Cumbernauld AAC,20,F,,0,116,116,0,
47,Dumbarton AAC,21,F,,0,116,116,0,
48,Dumfries Harriers,22,F,,0,116,116,0,
49,Dumfries Running Club,23,F,,0,116,116,0,
50,Galloway Harriers AAC,24,F,,0,116,116,0,
51,Girvan AC,25,F,,0,116,116,0,
52,Glasgow Caledonian University AC,26,F,,0,116,116,0,
53,Glasgow FrontRunners,27,F,,0,116,116,0,
54,Glasgow Triathlon Club,28,F,,0,116,116,0,
55,West End RR,56,F,,0,116,116,0,
56,Helensburgh AAC,32,F,,0,116,116,0,
57,Whitemoss AAC,57,F,,0,116,116,0,
