position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Ayr Seaforth AC,14,F,"1,2",3,12,15,2,
2,Helensburgh AAC,32,F,,0,36,36,0,
3,Irvine RC,33,F,,0,36,36,0,
4,Kilbarchan AAC,34,F,,0,36,36,0,
5,Kirkintilloch Olympians,35,F,,0,36,36,0,
6,Larkhall YMCA,36,F,,0,36,36,0,
7,Law & District AAC,37,F,,0,36,36,0,
8,Maryhill Harriers,38,F,,0,36,36,0,
9,Mid Argyll AAC,39,F,,0,36,36,0,
10,Motherwell AC,40,F,,0,36,36,0,
11,Mull AC,41,F,,0,36,36,0,
12,Newton Road Runners,42,F,,0,36,36,0,
13,Nithsdale AC,43,F,,0,36,36,0,
14,East Kilbride AC,1,F,,0,36,36,0,http://www.ekac.org.uk/
15,North Ayrshire AAC,44,F,,0,36,36,0,
16,Red Star AC,45,F,,0,36,36,0,
17,Royal Mail Run GMC,46,F,,0,36,36,0,
18,Scottish Fire & Rescue Service AC,47,F,,0,36,36,0,
19,Springburn Harriers,48,F,,0,36,36,0,
20,Stewartry AC,49,F,,0,36,36,0,
21,Strathaven Striders,50,F,,0,36,36,0,
22,Strathclyde Police AC,51,F,,0,36,36,0,
23,Strathclyde University Harriers,52,F,,0,36,36,0,
24,Troon Tortoises,53,F,,0,36,36,0,
25,VP-Glasgow,54,F,,0,36,36,0,
26,West Dunbartonshire AC,55,F,,0,36,36,0,
27,Hamilton Harriers,31,F,,0,36,36,0,
28,Greenock Glenpark Harriers,30,F,,0,36,36,0,
29,Glasgow University Hares and Hounds,29,F,,0,36,36,0,
30,Glasgow Triathlon Club,28,F,,0,36,36,0,
31,Kilmarnock H&AC,2,F,,0,36,36,0,http://www.kilmarnockharriers.com/
32,Bellahouston RR,3,F,,0,36,36,0,https://www.bellahoustonroadrunners.co.uk/
33,Inverclyde AC,4,F,,0,36,36,0,
34,Westerlands CCC,5,F,,0,36,36,0,
35,Cambuslang Harriers,6,F,,0,36,36,0,
36,Giffnock North AC,7,F,,0,36,36,0,
37,Bellahouston Harriers,8,F,,0,36,36,0,
38,Garscube Harriers,9,F,,0,36,36,0,
39,Shettleston Harriers,10,F,,0,36,36,0,
40,Airdrie Harriers,11,F,,0,36,36,0,
41,Annan and District AC,12,F,,0,36,36,0,
42,Arran Runners,13,F,,0,36,36,0,
43,Ayrodynamic Triathlon Club,15,F,,0,36,36,0,
44,Beith Harriers,16,F,,0,36,36,0,
45,Calderglen Harriers,17,F,,0,36,36,0,
46,Campbeltown Running Club,18,F,,0,36,36,0,
47,Clydesdale Harriers,19,F,,0,36,36,0,
48,Cumbernauld AAC,20,F,,0,36,36,0,
49,Dumbarton AAC,21,F,,0,36,36,0,
50,Dumfries Harriers,22,F,,0,36,36,0,
51,Dumfries Running Club,23,F,,0,36,36,0,
52,Galloway Harriers AAC,24,F,,0,36,36,0,
53,Girvan AC,25,F,,0,36,36,0,
54,Glasgow Caledonian University AC,26,F,,0,36,36,0,
55,Glasgow FrontRunners,27,F,,0,36,36,0,
56,West End RR,56,F,,0,36,36,0,
57,Whitemoss AAC,57,F,,0,36,36,0,
