1,2,Total,Club name,Website
15,10,25,East Kilbride AC,http://www.ekac.org.uk/
13,41,54,Cambuslang Harriers,https://cambuslangharriers.org/
49,66,115,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
70,52,122,Calderglen Harriers,
100,65,165,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/
86,80,166,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
82,93,175,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
46,132,178,Shettleston Harriers,http://shettlestonharriers.org.uk/
83,95,178,Law & District AAC,http://www.lawaac.co.uk/
90,88,178,Troon Tortoises,http://troontortoises.co.uk
122,65,187,West End RR,https://www.westendroadrunners.co.uk/
126,66,192,Westerlands CCC,https://westerlandsccc.co.uk/
70,146,216,Irvine RC,
70,152,222,Newton Road Runners,https://www.newton-roadrunners.com/
89,139,228,Inverclyde AC,https://www.inverclydeac.org/
70,161,231,Springburn Harriers,https://www.springburnharriers.co.uk/
174,65,239,Motherwell AC,https://motherwellac.com/
183,65,248,Whitemoss AAC,https://whitemossaac.co.uk/
111,144,255,Giffnock North AC,https://www.giffnocknorth.co.uk/
141,124,265,Royal Mail Run GMC,https://www.facebook.com/royalmailrungmc/
181,105,286,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
186,140,326,Garscube Harriers,https://www.garscubeharriers.org.uk/
