1,2,Total,Club name,Website
39,21,60,East Kilbride AC,http://www.ekac.org.uk/
20,44,64,Giffnock North AC,https://www.giffnocknorth.co.uk/
23,52,75,Kilbarchan AAC,https://kilbarchanaac.org.uk/
17,59,76,Airdrie Harriers,http://airdrieharriers.org/
40,53,93,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
72,25,97,Cambuslang Harriers,https://cambuslangharriers.org/
40,58,98,Inverclyde AC,https://www.inverclydeac.org/
80,25,105,North Ayrshire AAC,https://naathletics.co.uk/
71,37,108,Shettleston Harriers,http://shettlestonharriers.org.uk/
88,25,113,Springburn Harriers,https://www.springburnharriers.co.uk/
65,56,121,Law & District AAC,http://www.lawaac.co.uk/
98,25,123,VP-Glasgow,
106,25,131,Garscube Harriers,https://www.garscubeharriers.org.uk/
107,25,132,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
105,40,145,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
