position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Cambuslang Harriers,6,M,"2,8,15,17",42,0,42,8,https://cambuslangharriers.org/
2,Giffnock North AC,7,M,"1,3,10,38",52,0,52,4,https://www.giffnocknorth.co.uk/
3,Kilmarnock H&AC,2,M,"6,9,11,36",62,0,62,7,http://www.kilmarnockharriers.com/
4,Shettleston Harriers,10,M,"4,13,18,30",65,0,65,6,http://shettlestonharriers.org.uk/
5,East Kilbride AC,1,M,"5,20,21,22",68,0,68,11,http://www.ekac.org.uk/
6,Westerlands CCC,5,M,"19,27,32,55",133,0,133,6,https://westerlandsccc.co.uk/
7,Law & District AAC,37,M,"26,33,41,67",167,0,167,6,http://www.lawaac.co.uk/
8,Bellahouston RR,3,M,"25,40,53,56",174,0,174,8,https://www.bellahoustonroadrunners.co.uk/
9,Ayr Seaforth AC,14,M,"14,42,52,68",176,0,176,6,https://www.ayrseaforth.co.uk/
10,Inverclyde AC,4,M,"23,31,45",99,104,203,3,https://www.inverclydeac.org/
11,Bellahouston Harriers,8,M,"35,47,60,71",213,0,213,5,http://www.bellahoustonharriers.co.uk/
12,Calderglen Harriers,17,M,"39,46,49,80",214,0,214,7,
13,VP-Glasgow,54,M,"7,12,92",111,104,215,3,
14,Troon Tortoises,53,M,"48,61,76",185,104,289,3,http://troontortoises.co.uk
15,Garscube Harriers,9,M,"34,58",92,208,300,2,https://www.garscubeharriers.org.uk/
16,Springburn Harriers,48,M,"63,75,82",220,104,324,3,https://www.springburnharriers.co.uk/
17,Greenock Glenpark Harriers,30,M,16,16,312,328,1,https://greenockglenparkharriers.com/
18,Irvine RC,33,M,43,43,312,355,1,
19,West End RR,56,M,44,44,312,356,1,https://www.westendroadrunners.co.uk/
20,Newton Road Runners,42,M,51,51,312,363,1,https://www.newton-roadrunners.com/
21,Royal Mail Run GMC,46,M,"65,91",156,208,364,2,https://www.facebook.com/royalmailrungmc/
