position,times,team,gender,AgeCat,clubnumber,Club name,Website
1,0:11:43,7M,M,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
2,0:11:48,9M,M,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
3,0:11:57,9M,M,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
4,0:12:04,34M,M,U15,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
5,0:12:08,7M,M,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
6,0:12:12,44M,M,U15,44,North Ayrshire AAC,https://naathletics.co.uk/
7,0:12:14,2M,M,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
8,0:12:15,10M,M,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
9,0:12:24,48M,M,U15,48,Springburn Harriers,https://www.springburnharriers.co.uk/
10,0:12:38,9M,M,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
11,0:12:47,6M,M,U15,6,Cambuslang Harriers,https://cambuslangharriers.org/
12,0:13:06,14M,M,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
13,0:13:10,37M,M,U15,37,Law & District AAC,http://www.lawaac.co.uk/
14,0:13:14,14M,M,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
15,0:13:16,2M,M,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
16,0:13:22,9M,M,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
17,0:13:24,34M,M,U15,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
18,0:13:24,14M,M,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
19,0:13:31,1M,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
20,0:13:31,1F,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
21,0:13:40,1M,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
22,0:13:43,14M,M,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
23,0:13:45,10F,F,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
24,0:13:53,1M,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
25,0:14:07,11M,M,U15,11,Airdrie Harriers,http://airdrieharriers.org/
26,0:14:09,7M,M,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
27,0:14:10,37M,M,U15,37,Law & District AAC,http://www.lawaac.co.uk/
28,0:14:11,7F,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
29,0:14:12,1M,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
30,0:14:17,11F,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
31,0:14:17,2M,M,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
32,0:14:37,14F,F,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
33,0:14:45,36M,M,U15,36,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
34,0:14:53,54F,F,U15,54,VP-Glasgow,https://www.vp-glasgow.com
35,0:14:55,34M,M,U15,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
36,0:15:03,1F,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
37,0:15:08,7F,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
38,0:15:16,48F,F,U15,48,Springburn Harriers,https://www.springburnharriers.co.uk/
39,0:15:22,54F,F,U15,54,VP-Glasgow,https://www.vp-glasgow.com
40,0:15:49,44F,F,U15,44,North Ayrshire AAC,https://naathletics.co.uk/
41,0:15:49,1F,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
42,0:15:56,11F,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
43,0:15:58,6F,F,U15,6,Cambuslang Harriers,https://cambuslangharriers.org/
44,0:16:07,9F,F,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
45,0:16:11,10F,F,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
46,0:16:13,37F,F,U15,37,Law & District AAC,http://www.lawaac.co.uk/
47,0:16:20,1F,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
48,0:16:29,34M,M,U15,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
49,0:16:31,10F,F,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
50,0:16:32,1M,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
51,0:16:55,44F,F,U15,44,North Ayrshire AAC,https://naathletics.co.uk/
52,0:16:56,44F,F,U15,44,North Ayrshire AAC,https://naathletics.co.uk/
53,0:17:17,57F,F,U15,57,Whitemoss AAC,https://whitemossaac.co.uk/
54,0:17:18,9F,F,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
55,0:17:24,57F,F,U15,57,Whitemoss AAC,https://whitemossaac.co.uk/
56,0:17:33,9F,F,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
57,0:17:36,2F,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
58,0:18:33,2F,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
59,0:18:39,6F,F,U15,6,Cambuslang Harriers,https://cambuslangharriers.org/
