position,times,team,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:23:52,1F,F,U17,1,East Kilbride AC,http://www.ekac.org.uk/,15
2,0:24:11,14F,F,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,16
3,0:25:05,2F,F,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,17
4,0:25:12,43F,F,U17,43,Nithsdale AC,,18
5,0:25:36,1F,F,U17,1,East Kilbride AC,http://www.ekac.org.uk/,19
6,0:25:53,37F,F,U17,37,Law & District AAC,http://www.lawaac.co.uk/,20
7,0:26:16,11F,F,U17,11,Airdrie Harriers,http://airdrieharriers.org/,21
8,0:27:56,34F,F,U17,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,22
9,0:28:14,2F,F,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,23
10,0:29:39,1F,F,U17,1,East Kilbride AC,http://www.ekac.org.uk/,25
11,0:30:14,17F,F,U17,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,26
