position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Ayr Seaforth AC,14,F,"1,4,7",12,0,12,5,https://www.ayrseaforth.co.uk/
2,Cambuslang Harriers,6,F,"2,12,18",32,0,32,5,https://cambuslangharriers.org/
3,Garscube Harriers,9,F,"3,8,25",36,0,36,4,https://www.garscubeharriers.org.uk/
4,Bellahouston Harriers,8,F,"10,17,33",60,0,60,4,http://www.bellahoustonharriers.co.uk/
5,Bellahouston RR,3,F,"16,20,29",65,0,65,3,https://www.bellahoustonroadrunners.co.uk/
6,VP-Glasgow,54,F,"15,19,32",66,0,66,4,https://www.vp-glasgow.com
7,Calderglen Harriers,17,F,"14,27,30",71,0,71,4,http://www.calderglenharriers.org.uk/
8,Law & District AAC,37,F,"11,31",42,55,97,2,http://www.lawaac.co.uk/
9,East Kilbride AC,1,F,"21,38,40",99,0,99,4,http://www.ekac.org.uk/
10,Kilmarnock H&AC,2,F,"22,26",48,55,103,2,http://www.kilmarnockharriers.com/
11,West End RR,56,F,"23,39,43",105,0,105,3,https://www.westendroadrunners.co.uk/
12,Springburn Harriers,48,F,5,5,110,115,1,https://www.springburnharriers.co.uk/
13,Shettleston Harriers,10,F,6,6,110,116,1,http://shettlestonharriers.org.uk/
14,Motherwell AC,40,F,13,13,110,123,1,https://motherwellac.com/
15,Greenock Glenpark Harriers,30,F,44,44,110,154,1,https://greenockglenparkharriers.com/
16,Ayrodynamic Triathlon Club,15,F,45,45,110,155,1,http://www.ayrodynamic.org.uk/
