position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Inverclyde AC,4,M,"3,4,6",13,0,13,5,https://www.inverclydeac.org/
2,Cambuslang Harriers,6,M,"2,9,12",23,0,23,13,https://cambuslangharriers.org/
3,Giffnock North AC,7,M,"1,10,13",24,0,24,6,https://www.giffnocknorth.co.uk/
4,Shettleston Harriers,10,M,"7,16,18",41,0,41,8,http://shettlestonharriers.org.uk/
5,Bellahouston RR,3,M,"8,22,34",64,0,64,12,https://www.bellahoustonroadrunners.co.uk/
6,East Kilbride AC,1,M,"14,24,29",67,0,67,10,http://www.ekac.org.uk/
7,Westerlands CCC,5,M,"19,32,57",108,0,108,3,https://westerlandsccc.co.uk/
8,Greenock Glenpark Harriers,30,M,"27,28,66",121,0,121,5,https://greenockglenparkharriers.com/
9,Garscube Harriers,9,M,"30,45,65",140,0,140,4,https://www.garscubeharriers.org.uk/
10,Calderglen Harriers,17,M,"39,53,55",147,0,147,6,http://www.calderglenharriers.org.uk/
11,Law & District AAC,37,M,"35,43,70",148,0,148,9,http://www.lawaac.co.uk/
12,Ayr Seaforth AC,14,M,"17,54,80",151,0,151,4,https://www.ayrseaforth.co.uk/
13,Kilmarnock H&AC,2,M,"33,48,79",160,0,160,4,http://www.kilmarnockharriers.com/
14,Troon Tortoises,53,M,"44,59",103,119,222,2,http://troontortoises.co.uk
15,Springburn Harriers,48,M,"68,71,87",226,0,226,4,https://www.springburnharriers.co.uk/
16,VP-Glasgow,54,M,5,5,238,243,1,https://www.vp-glasgow.com
17,Motherwell AC,40,M,11,11,238,249,1,https://motherwellac.com/
18,West End RR,56,M,"72,82,100",254,0,254,5,https://www.westendroadrunners.co.uk/
19,Whitemoss AAC,57,M,"77,84",161,119,280,2,https://whitemossaac.co.uk/
20,Strathclyde University Harriers,52,M,50,50,238,288,1,
21,Airdrie Harriers,11,M,78,78,238,316,1,http://airdrieharriers.org/
22,Dumfries Running Club,23,M,102,102,238,340,1,
23,Bellahouston Harriers,8,M,105,105,238,343,1,http://www.bellahoustonharriers.co.uk/
24,Dumfries Harriers,22,M,108,108,238,346,1,
