position,times,team,gender,AgeCat,clubnumber,Club name,Website
1,0:25:35,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
2,0:26:03,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
3,0:26:28,4M,M,U20,4,Inverclyde AC,https://www.inverclydeac.org/
4,0:26:30,4M,M,U20,4,Inverclyde AC,https://www.inverclydeac.org/
5,0:26:45,54M,M,U20,54,VP-Glasgow,https://www.vp-glasgow.com
6,0:26:48,4M,M,U20,4,Inverclyde AC,https://www.inverclydeac.org/
7,0:27:05,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
8,0:27:08,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
9,0:27:43,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
10,0:27:57,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
11,0:27:58,40M,M,U20,40,Motherwell AC,https://motherwellac.com/
12,0:28:03,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
13,0:28:13,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
14,0:28:19,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
15,0:28:25,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
16,0:28:38,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
17,0:28:43,14M,M,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
18,0:28:44,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
19,0:29:09,5M,M,U20,5,Westerlands CCC,https://westerlandsccc.co.uk/
20,0:29:11,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
21,0:29:15,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
22,0:29:23,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
23,0:29:24,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
24,0:29:26,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
25,0:29:38,4M,M,U20,4,Inverclyde AC,https://www.inverclydeac.org/
26,0:29:48,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
27,0:29:49,30M,M,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
28,0:30:09,30M,M,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
29,0:30:16,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
30,0:30:31,9M,M,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
31,0:30:34,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
32,0:30:36,5M,M,U20,5,Westerlands CCC,https://westerlandsccc.co.uk/
33,0:30:37,2M,M,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
34,0:30:45,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
35,0:30:48,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
36,0:30:52,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
37,0:31:06,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
38,0:31:09,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
39,0:31:22,17M,M,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
40,0:31:34,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
41,0:31:36,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
42,0:31:37,14F,F,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
43,0:31:39,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
44,0:31:48,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
45,0:31:51,6F,F,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
46,0:31:53,53M,M,U20,53,Troon Tortoises,http://troontortoises.co.uk
47,0:31:57,9M,M,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
48,0:32:04,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
49,0:32:11,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
50,0:32:17,9F,F,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
51,0:32:18,2M,M,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
52,0:32:21,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
53,0:32:23,52M,M,U20,52,Strathclyde University Harriers,
54,0:32:27,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
55,0:32:29,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
56,0:32:38,17M,M,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
57,0:32:40,14F,F,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
58,0:32:48,48F,F,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
59,0:32:49,10F,F,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
60,0:32:56,14M,M,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
61,0:33:20,17M,M,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
62,0:33:31,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
63,0:33:37,14F,F,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
64,0:34:01,9F,F,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
65,0:34:03,5M,M,U20,5,Westerlands CCC,https://westerlandsccc.co.uk/
66,0:34:09,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
67,0:34:16,14F,F,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
68,0:34:33,53M,M,U20,53,Troon Tortoises,http://troontortoises.co.uk
69,0:34:41,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
70,0:34:52,8F,F,U20,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
71,0:34:54,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
72,0:35:00,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
73,0:35:04,4M,M,U20,4,Inverclyde AC,https://www.inverclydeac.org/
74,0:35:08,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
75,0:35:11,37F,F,U20,37,Law & District AAC,http://www.lawaac.co.uk/
76,0:35:18,9M,M,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
77,0:35:22,6F,F,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
78,0:35:30,30M,M,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
79,0:35:43,40F,F,U20,40,Motherwell AC,https://motherwellac.com/
80,0:35:58,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
81,0:36:04,48M,M,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
82,0:36:10,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
83,0:36:12,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
84,0:36:16,17F,F,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
85,0:36:19,54F,F,U20,54,VP-Glasgow,https://www.vp-glasgow.com
86,0:36:24,48M,M,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
87,0:36:26,56M,M,U20,56,West End RR,https://www.westendroadrunners.co.uk/
88,0:36:31,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
89,0:36:34,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
90,0:36:34,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
