1,2,Total,Club name,Website
15,10,25,East Kilbride AC,http://www.ekac.org.uk/
13,41,54,Cambuslang Harriers,https://cambuslangharriers.org/
49,66,115,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
86,80,166,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
82,93,175,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
46,132,178,Shettleston Harriers,http://shettlestonharriers.org.uk/
83,95,178,Law & District AAC,http://www.lawaac.co.uk/
90,88,178,Troon Tortoises,http://troontortoises.co.uk
126,66,192,Westerlands CCC,https://westerlandsccc.co.uk/
89,139,228,Inverclyde AC,https://www.inverclydeac.org/
111,144,255,Giffnock North AC,https://www.giffnocknorth.co.uk/
210,52,262,Calderglen Harriers,http://www.calderglenharriers.org.uk/
141,124,265,Royal Mail Run GMC,https://www.facebook.com/royalmailrungmc/
181,105,286,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
100,195,295,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/
122,195,317,West End RR,https://www.westendroadrunners.co.uk/
186,140,326,Garscube Harriers,https://www.garscubeharriers.org.uk/
210,146,356,Irvine RC,https://www.irvinerunningclub.co.uk/
210,152,362,Newton Road Runners,https://www.newton-roadrunners.com/
174,195,369,Motherwell AC,https://motherwellac.com/
210,161,371,Springburn Harriers,https://www.springburnharriers.co.uk/
183,195,378,Whitemoss AAC,https://whitemossaac.co.uk/
