1,3,2,Total,Club name,Website
21,44,62,127,Cambuslang Harriers,https://cambuslangharriers.org/
81,47,43,171,Shettleston Harriers,http://shettlestonharriers.org.uk/
66,29,132,227,Inverclyde AC,https://www.inverclydeac.org/
147,35,98,280,Giffnock North AC,https://www.giffnocknorth.co.uk/
98,78,111,287,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
147,103,92,342,East Kilbride AC,http://www.ekac.org.uk/
170,183,72,425,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
189,132,124,445,Law & District AAC,http://www.lawaac.co.uk/
174,180,123,477,Westerlands CCC,https://westerlandsccc.co.uk/
202,140,146,488,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
208,176,169,553,Springburn Harriers,https://www.springburnharriers.co.uk/
226,180,152,558,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
175,180,224,579,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/
183,180,224,587,North Ayrshire AAC,https://naathletics.co.uk/
268,180,143,591,VP-Glasgow,https://www.vp-glasgow.com
268,180,145,593,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
268,180,160,608,West End RR,https://www.westendroadrunners.co.uk/
213,180,224,617,Motherwell AC,https://motherwellac.com/
217,180,224,621,Kilbarchan AAC,https://kilbarchanaac.org.uk/
268,196,163,627,Garscube Harriers,https://www.garscubeharriers.org.uk/
228,180,224,632,Newton Road Runners,https://www.newton-roadrunners.com/
232,180,224,636,Troon Tortoises,http://troontortoises.co.uk
258,180,224,662,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
268,184,224,676,Calderglen Harriers,http://www.calderglenharriers.org.uk/
246,208,224,678,Whitemoss AAC,https://whitemossaac.co.uk/
