1,2,3,Total,Club name,Website
37,16,36,89,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
57,15,19,91,East Kilbride AC,http://www.ekac.org.uk/
20,54,30,104,Law & District AAC,http://www.lawaac.co.uk/
58,37,47,142,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
50,54,52,156,Airdrie Harriers,http://airdrieharriers.org/
55,54,53,162,Kilbarchan AAC,https://kilbarchanaac.org.uk/
65,40,66,171,Cambuslang Harriers,https://cambuslangharriers.org/
60,54,66,180,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/
63,54,66,183,Giffnock North AC,https://www.giffnocknorth.co.uk/
64,54,66,184,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
81,54,49,184,Nithsdale AC,
66,54,66,186,Whitemoss AAC,https://whitemossaac.co.uk/
81,54,56,191,Calderglen Harriers,http://www.calderglenharriers.org.uk/
