position,times,team,gender,AgeCat,clubnumber,Club name,Website
1,0:04:50,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
2,0:05:03,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
3,0:05:12,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
4,0:05:14,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
5,0:05:16,4M,M,U11,4,Inverclyde AC,https://www.inverclydeac.org/
6,0:05:19,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
7,0:05:20,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
8,0:05:21,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
9,0:05:27,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
10,0:05:27,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
11,0:05:27,6M,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/
12,0:05:27,44M,M,U11,44,North Ayrshire AAC,https://naathletics.co.uk/
13,0:05:27,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
14,0:05:30,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
15,0:05:30,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
16,0:05:30,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
17,0:05:30,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
18,0:05:31,48M,M,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/
19,0:05:33,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
20,0:05:35,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
21,0:05:44,6M,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/
22,0:05:46,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
23,0:05:47,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
24,0:05:48,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
25,0:05:50,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
26,0:05:50,57M,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/
27,0:05:53,17M,M,U11,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
28,0:05:55,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
29,0:05:56,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
30,0:05:57,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
31,0:05:58,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
32,0:06:00,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
33,0:06:02,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
34,0:06:02,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
35,0:06:03,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
36,0:06:03,36M,M,U11,36,Larkhall YMCA,https://www.larkhallymcaharriers.org
37,0:06:03,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
38,0:06:03,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
39,0:06:03,10M,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
40,0:06:05,17M,M,U11,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
41,0:06:05,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
42,0:06:10,36M,M,U11,36,Larkhall YMCA,https://www.larkhallymcaharriers.org
43,0:06:10,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
44,0:06:10,10M,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
45,0:06:13,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
46,0:06:14,10M,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
47,0:06:17,14M,M,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
48,0:06:18,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
49,0:06:18,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
50,0:06:22,37M,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
51,0:06:31,57M,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/
52,0:06:33,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
53,0:06:38,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
54,0:06:39,57M,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/
55,0:06:41,57M,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/
56,0:06:43,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
57,0:06:44,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
58,0:06:45,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
