position,times,team,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:10:07,34F,F,U13,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,1
2,0:10:10,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,2
3,0:10:17,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,3
4,0:10:20,37F,F,U13,37,Law & District AAC,http://www.lawaac.co.uk/,4
5,0:10:32,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,5
6,0:10:33,11F,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,6
7,0:10:38,44F,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,7
8,0:10:39,32F,F,U13,32,Helensburgh AAC,,8
9,0:10:58,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,9
10,0:10:59,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,10
11,0:11:07,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,11
12,0:11:07,6F,F,U13,6,Cambuslang Harriers,https://cambuslangharriers.org/,12
13,0:11:18,4F,F,U13,4,Inverclyde AC,https://www.inverclydeac.org/,13
14,0:11:23,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,14
15,0:11:23,44F,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,15
16,0:11:35,44F,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,16
17,0:11:35,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,17
18,0:11:40,48F,F,U13,48,Springburn Harriers,https://www.springburnharriers.co.uk/,18
19,0:11:43,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,19
20,0:11:48,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,20
21,0:11:50,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,21
22,0:11:56,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,22
23,0:11:56,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,23
24,0:11:58,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,24
25,0:12:03,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,25
26,0:12:05,44F,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,26
27,0:12:05,6F,F,U13,6,Cambuslang Harriers,https://cambuslangharriers.org/,27
28,0:12:08,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,28
29,0:12:10,14F,F,U13,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,29
30,0:12:10,36F,F,U13,36,Larkhall YMCA,https://www.larkhallymcaharriers.org,30
31,0:12:10,36F,F,U13,36,Larkhall YMCA,https://www.larkhallymcaharriers.org,31
32,0:12:14,48F,F,U13,48,Springburn Harriers,https://www.springburnharriers.co.uk/,32
33,0:12:17,40F,F,U13,40,Motherwell AC,https://motherwellac.com/,33
34,0:12:18,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,34
35,0:12:18,10F,F,U13,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,35
36,0:12:23,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,36
37,0:12:25,7F,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,37
38,0:12:32,37F,F,U13,37,Law & District AAC,http://www.lawaac.co.uk/,38
39,0:12:35,44F,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,39
40,0:12:37,30F,F,U13,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,40
41,0:12:41,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,41
42,0:12:48,1F,F,U13,1,East Kilbride AC,http://www.ekac.org.uk/,42
43,0:12:50,10F,F,U13,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,43
44,0:12:51,2F,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,44
45,0:13:04,54F,F,U13,54,VP-Glasgow,https://www.vp-glasgow.com,45
46,0:13:11,57F,F,U13,57,Whitemoss AAC,https://whitemossaac.co.uk/,46
47,0:13:14,11F,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,47
48,0:13:14,11F,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,48
49,0:13:17,37F,F,U13,37,Law & District AAC,http://www.lawaac.co.uk/,49
50,0:13:22,10F,F,U13,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,50
51,0:13:28,54F,F,U13,54,VP-Glasgow,https://www.vp-glasgow.com,51
52,0:13:38,44F,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,52
53,0:13:53,4F,F,U13,4,Inverclyde AC,https://www.inverclydeac.org/,53
54,0:13:57,4F,F,U13,4,Inverclyde AC,https://www.inverclydeac.org/,54
55,0:14:30,11F,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,55
56,0:14:47,11F,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,56
57,0:15:38,6F,F,U13,6,Cambuslang Harriers,https://cambuslangharriers.org/,57
