position,times,team,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:18:12,10M,M,U17,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,1
2,0:18:13,2M,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,2
3,0:18:20,44M,M,U17,44,North Ayrshire AAC,https://naathletics.co.uk/,3
4,0:18:21,37M,M,U17,37,Law & District AAC,http://www.lawaac.co.uk/,4
5,0:18:48,10M,M,U17,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,5
6,0:18:57,14M,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,6
7,0:19:14,2M,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,7
8,0:19:14,54M,M,U17,54,VP-Glasgow,https://www.vp-glasgow.com,8
9,0:19:17,6M,M,U17,6,Cambuslang Harriers,https://cambuslangharriers.org/,9
10,0:19:19,2M,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,10
11,0:19:20,1M,M,U17,1,East Kilbride AC,http://www.ekac.org.uk/,11
12,0:19:25,1M,M,U17,1,East Kilbride AC,http://www.ekac.org.uk/,12
13,0:19:34,2M,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,13
14,0:19:38,14M,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,14
15,0:20:24,4M,M,U17,4,Inverclyde AC,https://www.inverclydeac.org/,15
16,0:20:59,10M,M,U17,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,17
17,0:21:49,37M,M,U17,37,Law & District AAC,http://www.lawaac.co.uk/,18
18,0:21:54,17M,M,U17,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,19
19,0:22:08,2M,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,21
20,0:22:52,11M,M,U17,11,Airdrie Harriers,http://airdrieharriers.org/,22
21,0:23:35,36M,M,U17,36,Larkhall YMCA,https://www.larkhallymcaharriers.org,24
