position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Cambuslang Harriers,6,M,"3,7,11",21,0,21,4,https://cambuslangharriers.org/
2,East Kilbride AC,1,M,"6,12,16",34,0,34,3,http://www.ekac.org.uk/
3,Inverclyde AC,4,M,"1,2",3,37,40,2,https://www.inverclydeac.org/
4,Bellahouston Harriers,8,M,"14,17,18",49,0,49,6,http://www.bellahoustonharriers.co.uk/
5,Greenock Glenpark Harriers,30,M,"8,22,25",55,0,55,3,https://greenockglenparkharriers.com/
6,Garscube Harriers,9,M,"10,21",31,37,68,2,https://www.garscubeharriers.org.uk/
7,West End RR,56,M,"15,19",34,37,71,2,https://www.westendroadrunners.co.uk/
8,VP-Glasgow,54,M,4,4,74,78,1,https://www.vp-glasgow.com
9,Ayr Seaforth AC,14,M,5,5,74,79,1,https://www.ayrseaforth.co.uk/
10,Bellahouston RR,3,M,9,9,74,83,1,https://www.bellahoustonroadrunners.co.uk/
11,Motherwell AC,40,M,20,20,74,94,1,https://motherwellac.com/
12,Larkhall YMCA,36,M,27,27,74,101,1,https://www.larkhallymcaharriers.org
