1,2,Total,Club name,Website
80,52,132,Shettleston Harriers,http://shettlestonharriers.org.uk/
139,49,188,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
117,76,193,Cambuslang Harriers,https://cambuslangharriers.org/
55,158,213,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
64,155,219,East Kilbride AC,http://www.ekac.org.uk/
64,166,230,Westerlands CCC,https://westerlandsccc.co.uk/
188,69,257,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
99,174,273,Law & District AAC,http://www.lawaac.co.uk/
188,318,506,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
182,325,507,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/
281,267,548,Inverclyde AC,https://www.inverclydeac.org/
383,220,603,Calderglen Harriers,http://www.calderglenharriers.org.uk/
460,153,613,VP-Glasgow,https://www.vp-glasgow.com
305,328,633,North Ayrshire AAC,https://naathletics.co.uk/
267,400,667,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
374,301,675,Helensburgh AAC,https://www.helensburghaac.com/
259,417,676,Motherwell AC,https://motherwellac.com/
361,352,713,Kilbarchan AAC,https://kilbarchanaac.org.uk/
381,337,718,Giffnock North AC,https://www.giffnocknorth.co.uk/
327,403,730,Troon Tortoises,http://troontortoises.co.uk
255,476,731,Newton Road Runners,https://www.newton-roadrunners.com/
365,386,751,Whitemoss AAC,https://whitemossaac.co.uk/
304,476,780,Irvine RC,https://www.irvinerunningclub.co.uk/
341,476,817,West End RR,https://www.westendroadrunners.co.uk/
417,443,860,Airdrie Harriers,http://airdrieharriers.org/
460,404,864,Springburn Harriers,https://www.springburnharriers.co.uk/
448,465,913,Larkhall YMCA,https://www.larkhallymcaharriers.org
