1,Total,Club name,Website
29,29,Giffnock North AC,https://www.giffnocknorth.co.uk/
34,34,Law & District AAC,http://www.lawaac.co.uk/
37,37,Kilbarchan AAC,https://kilbarchanaac.org.uk/
40,40,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
44,44,Airdrie Harriers,http://airdrieharriers.org/
71,71,Inverclyde AC,https://www.inverclydeac.org/
76,76,Motherwell AC,https://motherwellac.com/
77,77,East Kilbride AC,http://www.ekac.org.uk/
89,89,Springburn Harriers,https://www.springburnharriers.co.uk/
104,104,North Ayrshire AAC,https://naathletics.co.uk/
108,108,Helensburgh AAC,https://www.helensburghaac.com/
110,110,Larkhall YMCA,https://www.larkhallymcaharriers.org
118,118,Calderglen Harriers,http://www.calderglenharriers.org.uk/
