1,2,3,Total,Club name,Website
6,64,29,99,East Kilbride AC,http://www.ekac.org.uk/
44,66,31,141,Kilbarchan AAC,https://kilbarchanaac.org.uk/
56,46,54,156,Helensburgh AAC,https://www.helensburghaac.com/
62,87,10,159,Cambuslang Harriers,https://cambuslangharriers.org/
63,36,64,163,VP-Glasgow,https://www.vp-glasgow.com
87,38,77,202,Garscube Harriers,https://www.garscubeharriers.org.uk/
58,73,77,208,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
87,35,87,209,Springburn Harriers,https://www.springburnharriers.co.uk/
68,70,82,220,Law & District AAC,http://www.lawaac.co.uk/
66,77,100,243,Shettleston Harriers,http://shettlestonharriers.org.uk/
67,68,111,246,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
87,69,94,250,Airdrie Harriers,http://airdrieharriers.org/
69,87,98,254,Giffnock North AC,https://www.giffnocknorth.co.uk/
72,72,111,255,Larkhall YMCA,https://www.larkhallymcaharriers.org
87,76,101,264,Whitemoss AAC,https://whitemossaac.co.uk/
87,67,111,265,Motherwell AC,https://motherwellac.com/
