1,Total,Club name,Website
25,25,Cambuslang Harriers,https://cambuslangharriers.org/
47,47,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
58,58,Law & District AAC,http://www.lawaac.co.uk/
73,73,Springburn Harriers,https://www.springburnharriers.co.uk/
75,75,Inverclyde AC,https://www.inverclydeac.org/
82,82,East Kilbride AC,http://www.ekac.org.uk/
88,88,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
89,89,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
96,96,Giffnock North AC,https://www.giffnocknorth.co.uk/
109,109,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
109,109,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
116,116,Troon Tortoises,http://troontortoises.co.uk
118,118,Helensburgh AAC,
124,124,Shettleston Harriers,http://shettlestonharriers.org.uk/
131,131,West End RR,https://www.westendroadrunners.co.uk/
136,136,Larkhall YMCA,https://www.larkhallymcaharriers.org
137,137,Whitemoss AAC,https://whitemossaac.co.uk/
138,138,Royal Mail Run GMC,https://www.facebook.com/royalmailrungmc/
142,142,Airdrie Harriers,http://airdrieharriers.org/
143,143,Newton Road Runners,https://www.newton-roadrunners.com/
