1,Total,Club name,Website
39,39,Shettleston Harriers,http://shettlestonharriers.org.uk/
54,54,VP-Glasgow,https://www.vp-glasgow.com
94,94,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
120,120,Springburn Harriers,https://www.springburnharriers.co.uk/
122,122,West End RR,https://www.westendroadrunners.co.uk/
135,135,Law & District AAC,http://www.lawaac.co.uk/
140,140,East Kilbride AC,http://www.ekac.org.uk/
159,159,Calderglen Harriers,http://www.calderglenharriers.org.uk/
160,160,Cambuslang Harriers,https://cambuslangharriers.org/
166,166,Westerlands CCC,https://westerlandsccc.co.uk/
173,173,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
177,177,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
188,188,Giffnock North AC,https://www.giffnocknorth.co.uk/
190,190,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/
190,190,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
194,194,Inverclyde AC,https://www.inverclydeac.org/
214,214,Troon Tortoises,http://troontortoises.co.uk
