1,Total,Club name,Website
29,29,Shettleston Harriers,http://shettlestonharriers.org.uk/
63,63,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
83,83,Westerlands CCC,https://westerlandsccc.co.uk/
90,90,Cambuslang Harriers,https://cambuslangharriers.org/
90,90,Giffnock North AC,https://www.giffnocknorth.co.uk/
137,137,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
146,146,Law & District AAC,http://www.lawaac.co.uk/
154,154,East Kilbride AC,http://www.ekac.org.uk/
154,154,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/
158,158,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
158,158,West End RR,https://www.westendroadrunners.co.uk/
164,164,Motherwell AC,https://motherwellac.com/
166,166,Kilbarchan AAC,https://kilbarchanaac.org.uk/
183,183,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
190,190,VP-Glasgow,https://www.vp-glasgow.com
199,199,Springburn Harriers,https://www.springburnharriers.co.uk/
204,204,Whitemoss AAC,https://whitemossaac.co.uk/
