team,Club name,Website
3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
4,Inverclyde AC,https://www.inverclydeac.org/
7,Giffnock North AC,https://www.giffnocknorth.co.uk/
8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
9,Garscube Harriers,https://www.garscubeharriers.org.uk/
10,Shettleston Harriers,http://shettlestonharriers.org.uk/
11,Airdrie Harriers,http://airdrieharriers.org/
14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
35,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/
36,Larkhall YMCA,https://www.larkhallymcaharriers.org
37,Law & District AAC,http://www.lawaac.co.uk/
50,Strathaven Striders,
53,Troon Tortoises,http://troontortoises.co.uk
54,VP-Glasgow,https://www.vp-glasgow.com
